都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,lat,lng,title,状況
262013,,京都府,福知山市,防火水槽,,,35.44182515,135.1517448,河守上防火水槽23,埋設
262013,,京都府,福知山市,防火水槽,,,35.43865029,135.152096,河守上防火水槽30,埋設
262013,,京都府,福知山市,防火水槽,,,35.41149732,135.1506652,河守上防火水槽31,埋設
262013,,京都府,福知山市,防火水槽,,,35.41076516,135.1517241,河守上防火水槽33,埋設
262013,,京都府,福知山市,防火水槽,,,35.4127036,135.118471,河守上防火水槽34,埋設
262013,,京都府,福知山市,防火水槽,,,35.41833838,135.1583894,河守上防火水槽35,埋設
262013,,京都府,福知山市,防火水槽,,,35.4185793,135.1608946,河守上防火水槽36,埋設
262013,,京都府,福知山市,防火水槽,,,35.40311552,135.1499619,河守上防火水槽2,無蓋
262013,,京都府,福知山市,防火水槽,,,35.40477647,135.1436329,河守上防火水槽4,無蓋
262013,,京都府,福知山市,防火水槽,,,35.40723007,135.1502665,河守上防火水槽5,無蓋
262013,,京都府,福知山市,防火水槽,,,35.40721232,135.1508329,河守上防火水槽6,無蓋
262013,,京都府,福知山市,防火水槽,,,35.41442001,135.15286,河守上防火水槽12,無蓋
262013,,京都府,福知山市,防火水槽,,,35.41994446,135.1557731,河守上防火水槽13,無蓋
262013,,京都府,福知山市,防火水槽,,,35.42498865,135.1571837,河守上防火水槽14,無蓋
262013,,京都府,福知山市,防火水槽,,,35.42751709,135.1557343,河守上防火水槽15,無蓋
262013,,京都府,福知山市,防火水槽,,,35.41468826,135.1184692,河守上防火水槽17,無蓋
262013,,京都府,福知山市,防火水槽,,,35.4457442,135.1622852,河守上防火水槽19,無蓋
262013,,京都府,福知山市,防火水槽,,,35.44849028,135.1615006,河守上防火水槽20,無蓋
262013,,京都府,福知山市,防火水槽,,,35.44655954,135.1604,河守上防火水槽21,無蓋
262013,,京都府,福知山市,防火水槽,,,35.44372122,135.1519887,河守上防火水槽22,無蓋
262013,,京都府,福知山市,防火水槽,,,35.44032045,135.151018,河守上防火水槽24,無蓋
262013,,京都府,福知山市,防火水槽,,,35.45028578,135.148856,河守上防火水槽27,無蓋
262013,,京都府,福知山市,防火水槽,,,35.43690678,135.1291132,河守上防火水槽28,無蓋
262013,,京都府,福知山市,防火水槽,,,35.4380695,135.1296891,河守上防火水槽29,無蓋
262013,,京都府,福知山市,防火水槽,,,35.38515482,135.1433557,河守防火水槽1,埋設
262013,,京都府,福知山市,防火水槽,,,35.38611878,135.1441158,河守防火水槽2,埋設
262013,,京都府,福知山市,防火水槽,,,35.38734843,135.1430941,河守防火水槽3,埋設
262013,,京都府,福知山市,防火水槽,,,35.39001553,135.1446503,河守防火水槽4,埋設
262013,,京都府,福知山市,防火水槽,,,35.39159075,135.1456861,河守防火水槽5,埋設
262013,,京都府,福知山市,防火水槽,,,35.39216431,135.1448692,河守防火水槽6,埋設
262013,,京都府,福知山市,防火水槽,,,35.39439507,135.1470262,河守防火水槽7,埋設
262013,,京都府,福知山市,防火水槽,,,35.39290202,135.1623666,河守防火水槽8,埋設
262013,,京都府,福知山市,防火水槽,,,35.39306729,135.1484262,河守防火水槽9,埋設
262013,,京都府,福知山市,防火水槽,,,35.39278623,135.1575394,河守防火水槽11,埋設
262013,,京都府,福知山市,防火水槽,,,35.39331772,135.1564686,河守防火水槽13,埋設
262013,,京都府,福知山市,防火水槽,,,35.39267414,135.1599956,河守防火水槽14,埋設
262013,,京都府,福知山市,防火水槽,,,35.38702864,135.1571844,河守防火水槽15,埋設
262013,,京都府,福知山市,防火水槽,,,35.38535887,135.1563543,河守防火水槽16,埋設
262013,,京都府,福知山市,防火水槽,,,35.38403525,135.1562986,河守防火水槽17,埋設
262013,,京都府,福知山市,防火水槽,,,35.39027175,135.1440512,河守防火水槽19,埋設
262013,,京都府,福知山市,防火水槽,,,35.38910738,135.1467373,河守防火水槽20,埋設
262013,,京都府,福知山市,防火水槽,,,35.39185416,135.1592518,河守防火水槽21,埋設
262013,,京都府,福知山市,防火水槽,,,35.39321939,135.1541178,河守防火水槽22,埋設
262013,,京都府,福知山市,防火水槽,,,35.39004161,135.1575996,河守防火水槽23,埋設
262013,,京都府,福知山市,防火水槽,,,35.39359647,135.1632052,河守防火水槽24,埋設
262013,,京都府,福知山市,防火水槽,,,35.39576573,135.156448,河守防火水槽26,埋設
262013,,京都府,福知山市,防火水槽,,,35.3866191,135.1561479,河守防火水槽27,埋設
262013,,京都府,福知山市,防火水槽,,,35.39101662,135.148969,河守防火水槽28,埋設
262013,,京都府,福知山市,防火水槽,,,35.392981,135.1561301,河守防火水槽10,無蓋
262013,,京都府,福知山市,防火水槽,,,35.39183158,135.1567571,河守防火水槽12,無蓋
262013,,京都府,福知山市,防火水槽,,,35.38308784,135.1565562,河守防火水槽18,埋設
262013,,京都府,福知山市,防火水槽,,,35.39406065,135.1632747,河守防火水槽25,無蓋
262013,,京都府,福知山市,防火水槽,,,35.37029414,135.1250777,河西防火水槽1,埋設
262013,,京都府,福知山市,防火水槽,,,35.37225877,135.1289419,河西防火水槽3,埋設
